x	y	RR	N_pairs	N_x	N_y	N_total
03y	77y	0.7842998723395059	310	101322	82027	21027180
03y	78y	0.731925667330847	281	101322	79674	21027180
03y	79y	0.7384073237007436	268	101322	75321	21027180
03y	80y	0.7596503977438613	259	101322	70756	21027180
03y	81y	0.7867127830544582	240	101322	63310	21027180
03y	82y	0.6847487174381535	194	101322	58796	21027180
03y	83y	0.7984187327371863	224	101322	58223	21027180
03y	84y	0.7428594212128831	184	101322	51403	21027180
03y	85y	0.7061545695149795	174	101322	51136	21027180
03y	86y	0.7203290739208239	147	101322	42351	21027180
03y	87y	0.7413785298178813	167	101322	46747	21027180
03y	88y	0.6388106185235901	120	101322	38984	21027180
03y	89y	0.6711257331410232	116	101322	35870	21027180
03y	90y	0.5478892597818387	99	101322	37499	21027180
03y	91y	0.6559002857960657	92	101322	29109	21027180
03y	92y	0.7400821158548686	80	101322	22433	21027180
03y	93y	0.6737236632877942	63	101322	19406	21027180
03y	94y	0.6849118031954792	55	101322	16665	21027180
03y	95y	0.5357104512165323	36	101322	13946	21027180
03y	96y	0.5793180472545043	35	101322	12538	21027180
03y	97y	0.6936105498588517	30	101322	8976	21027180
03y	98y	0.37503056480140495	11	101322	6087	21027180
03y	99y+	0.7441787582967119	61	101322	17011	21027180
04y	00y	0.9522765114578241	84	109784	16895	21027180
04y	01y	1.5574176960164907	828	109784	101828	21027180
04y	02y	1.7005172508590665	793	109784	89317	21027180
04y	03y	1.5878793996251577	840	109784	101322	21027180
04y	04y	2.5576251985017806	1466	109784	109784	21027180
04y	05y	1.4768853202542807	935	109784	121257	21027180
04y	06y	1.653735873953505	1126	109784	130411	21027180
04y	07y	1.6137089649226366	1164	109784	138156	21027180
04y	08y	1.4740124282000537	1089	109784	141504	21027180
04y	09y	1.4027805840988352	1237	109784	168897	21027180
04y	10y	1.3201590593103487	1245	109784	180628	21027180
04y	11y	1.2198295376011015	1217	109784	191088	21027180
04y	12y	1.1592704247105852	1014	109784	167531	21027180
04y	13y	1.1910352765872496	1035	109784	166440	21027180
04y	14y	1.1673721814455071	1192	109784	195573	21027180
04y	15y	1.052831735408309	1153	109784	209755	21027180
04y	16y	1.0878392161289612	1274	109784	224309	21027180
04y	17y	1.0504102182990116	1263	109784	230296	21027180
04y	18y	0.8935885442721734	1289	109784	276285	21027180
04y	19y	0.9302803802146601	1517	109784	312330	21027180
04y	20y	0.9068148109999545	1661	109784	350827	21027180
04y	21y	0.8858285435289512	1810	109784	391355	21027180
04y	22y	0.9267661920076607	2053	109784	424288	21027180
04y	23y	0.9690873789844371	2114	109784	417815	21027180
04y	24y	0.973613555532451	2203	109784	433381	21027180
04y	25y	0.9757552759717881	2221	109784	435963	21027180
04y	26y	0.9252450818383715	2119	109784	438648	21027180
04y	27y	1.0120485630933744	2420	109784	457990	21027180
04y	28y	0.9624152736428159	2232	109784	444195	21027180
04y	29y	0.9629510600471634	2342	109784	465827	21027180
04y	30y	0.9653953061142204	2338	109784	463854	21027180
04y	31y	0.9995446408997882	2334	109784	447240	21027180
04y	32y	1.0262392087055137	2346	109784	437846	21027180
04y	33y	1.0327106210231412	2223	109784	412290	21027180
04y	34y	1.0510463469104208	2186	109784	398355	21027180
04y	35y	1.0871655517117504	2167	109784	381773	21027180
04y	36y	1.0448926216993966	2021	109784	370456	21027180
04y	37y	1.0819024904934667	2070	109784	366458	21027180
04y	38y	1.0706527078772774	1916	109784	342759	21027180
04y	39y	1.0712540784613074	1914	109784	342209	21027180
04y	40y	1.021646057508463	1822	109784	341578	21027180
04y	41y	1.0075484296885555	1695	109784	322215	21027180
04y	42y	1.0394125955882438	1761	109784	324499	21027180
04y	43y	1.0008594208158934	1653	109784	316331	21027180
04y	44y	1.0062427842405375	1593	109784	303218	21027180
04y	45y	0.9418492929810669	1479	109784	300766	21027180
04y	46y	0.9552379100886195	1484	109784	297553	21027180
04y	47y	0.9613645392853963	1459	109784	290676	21027180
04y	48y	0.9312929805366699	1364	109784	280524	21027180
04y	49y	0.937291914317042	1397	109784	285472	21027180
04y	50y	0.9314802548905902	1392	109784	286225	21027180
04y	51y	0.974452975044971	1510	109784	296796	21027180
04y	52y	0.9599196458182307	1424	109784	284130	21027180
04y	53y	0.9064808110493954	1287	109784	271933	21027180
04y	54y	0.9502108906789231	1320	109784	266070	21027180
04y	55y	0.8855160621551835	1280	109784	276857	21027180
04y	56y	0.9379130075575063	1293	109784	264045	21027180
04y	57y	0.919983756007873	1236	109784	257324	21027180
04y	58y	0.921261069040495	1269	109784	263828	21027180
04y	59y	0.8944508527638777	1217	109784	260601	21027180
04y	60y	0.9001801664755615	1140	109784	242559	21027180
04y	61y	0.8869532469496036	1144	109784	247040	21027180
04y	62y	0.9398691625018999	1080	109784	220089	21027180
04y	63y	0.9423735190096375	1055	109784	214423	21027180
04y	64y	0.8959965676711502	981	109784	209703	21027180
04y	65y	0.9293617444832256	932	109784	192076	21027180
04y	66y	0.8542095574352639	785	109784	176014	21027180
04y	67y	0.9443991518775562	836	109784	169548	21027180
04y	68y	0.847318755338051	709	109784	160266	21027180
04y	69y	0.9121914562505511	686	109784	144039	21027180
04y	70y	0.8739938389918469	630	109784	138062	21027180
04y	71y	0.8692298429196252	605	109784	133310	21027180
04y	72y	0.8517099686125083	532	109784	119636	21027180
04y	73y	0.8636014854083242	535	109784	118654	21027180
04y	74y	0.824923055265146	511	109784	118645	21027180
04y	75y	0.7774529783018753	421	109784	103717	21027180
04y	76y	0.7919389501960005	386	109784	93355	21027180
04y	77y	0.7518670032428124	322	109784	82027	21027180
04y	78y	0.8197468185963902	341	109784	79674	21027180
04y	79y	0.7882928704630203	310	109784	75321	21027180
04y	80y	0.6686143020686133	247	109784	70756	21027180
04y	81y	0.729099350303906	241	109784	63310	21027180
04y	82y	0.7720448796084078	237	109784	58796	21027180
04y	83y	0.7533258761810155	229	109784	58223	21027180
